127.0.0.1 - - [20/Feb/2017:09:46:49 +0530] "GET / HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [20/Feb/2017:09:46:51 +0530] "GET /schedulerFrontEnd/ HTTP/1.1" 200 1510
0:0:0:0:0:0:0:1 - - [20/Feb/2017:09:47:24 +0530] "GET /schedulerFrontEnd/loginhere HTTP/1.1" 200 1842
0:0:0:0:0:0:0:1 - - [20/Feb/2017:09:47:53 +0530] "GET /schedulerFrontEnd/loginhere HTTP/1.1" 200 1886
0:0:0:0:0:0:0:1 - - [20/Feb/2017:09:47:53 +0530] "GET /favicon.ico HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [20/Feb/2017:09:59:21 +0530] "GET /schedulerFrontEnd/loginhere HTTP/1.1" 200 2048
0:0:0:0:0:0:0:1 - - [20/Feb/2017:10:00:29 +0530] "GET /schedulerFrontEnd/register HTTP/1.1" 200 2114
0:0:0:0:0:0:0:1 - - [20/Feb/2017:10:09:04 +0530] "GET /schedulerFrontEnd/loginhere HTTP/1.1" 200 2048
0:0:0:0:0:0:0:1 - - [20/Feb/2017:10:09:09 +0530] "GET /schedulerFrontEnd/register HTTP/1.1" 200 2209
0:0:0:0:0:0:0:1 - - [20/Feb/2017:10:09:10 +0530] "GET /schedulerFrontEnd/loginhere HTTP/1.1" 200 2048
0:0:0:0:0:0:0:1 - - [20/Feb/2017:10:29:42 +0530] "GET /schedulerFrontEnd/loginhere HTTP/1.1" 200 2049
0:0:0:0:0:0:0:1 - - [20/Feb/2017:10:29:49 +0530] "GET /schedulerFrontEnd/register HTTP/1.1" 200 2233
0:0:0:0:0:0:0:1 - - [20/Feb/2017:10:36:48 +0530] "POST /schedulerFrontEnd/registerme HTTP/1.1" 200 1548
0:0:0:0:0:0:0:1 - - [20/Feb/2017:10:41:00 +0530] "GET /schedulerFrontEnd/loginhere HTTP/1.1" 200 2049
0:0:0:0:0:0:0:1 - - [20/Feb/2017:10:41:02 +0530] "GET /schedulerFrontEnd/register HTTP/1.1" 200 2233
